Title,Holder,Party,begin_date,end_date
Presidentti,K. J. Ståhlberg,EDP,1919-07-25,1925-03-02
Presidentti,Lauri Kristian Relander,M,1925-03-02,1931-03-02
Presidentti,P. E. Svinhufvud,KOK,1931-03-02,1937-03-01
Presidentti,Kyösti Kallio,M,1937-03-01,1940-12-19
Presidentti,Risto Ryti,ED,1940-12-19,1944-08-01
Presidentti,Gustaf Mannerheim,SIT,1944-08-04,1946-03-04
Presidentti,J. K. Paasikivi,KOK,1946-03-11,1956-03-01
Presidentti,Urho Kekkonen,KESK,1956-03-01,1982-01-27
Presidentti,Mauno Koivisto,SDP,1982-01-27,1994-03-01
Presidentti,Martti Ahtisaari,SDP,1994-03-01,2000-03-01
Presidentti,Tarja Halonen,SDP,2000-03-01,2012-03-01
Presidentti,Sauli Niinistö,KOK,2012-03-01,2024-03-01
Presidentti,Alexander Stubb,KOK,2024-03-01,NA
Pääministeri,P. E. Svinhufvud,NSP,1917-11-27,1918-05-27
Pääministeri,J. K. Paasikivi,SP,1918-05-27,1918-11-27
Pääministeri,Lauri Ingman,KOK,1918-11-27,1919-04-17
Pääministeri,Kaarlo Castrén,ED,1919-04-17,1919-08-15
Pääministeri,J. H. Vennola,ED,1919-08-15,1920-03-15
Pääministeri,Rafael Erich,KOK,1920-03-15,1921-04-09
Pääministeri,J. H. Vennola,ED,1921-04-09,1922-06-02
Pääministeri,A. K. Cajander,NA,1922-06-02,1922-11-14
Pääministeri,Kyösti Kallio,KESK,1922-11-14,1924-01-18
Pääministeri,A. K. Cajander,NA,1924-01-18,1924-05-31
Pääministeri,Lauri Ingman,KOK,1924-05-31,1925-03-31
Pääministeri,Antti Tulenheimo,KOK,1925-03-31,1925-12-31
Pääministeri,Kyösti Kallio,KESK,1925-12-31,1926-12-13
Pääministeri,Väinö Tanner,SDP,1926-12-13,1927-12-17
Pääministeri,Juho Sunila,KESK,1927-12-17,1928-12-22
Pääministeri,Oskari Mantere,ED,1928-12-22,1929-08-16
Pääministeri,Kyösti Kallio,KESK,1929-08-16,1930-07-04
Pääministeri,P. E. Svinhufvud,KOK,1930-07-04,1931-03-02
Pääministeri,Juho Sunila,KESK,1931-03-21,1932-12-14
Pääministeri,Toivo Kivimäki,ED,1932-12-14,1936-10-07
Pääministeri,Kyösti Kallio,KESK,1936-10-07,1937-03-01
Pääministeri,A. K. Cajander,ED,1937-03-12,1939-12-01
Pääministeri,Risto Ryti,ED,1939-12-01,1940-03-27
Pääministeri,Risto Ryti,ED,1940-03-27,1940-12-19
Pääministeri,Jukka Rangell,ED,1941-01-03,1943-03-05
Pääministeri,Edwin Linkomies,KOK,1943-03-05,1944-08-08
Pääministeri,Antti Hackzell,NA,1944-08-08,1944-09-21
Pääministeri,Urho Castrén,KOK,1944-09-21,1944-11-17
Pääministeri,J. K. Paasikivi,NA,1944-11-17,1945-04-17
Pääministeri,J. K. Paasikivi,NA,1945-04-17,1946-03-11
Pääministeri,Mauno Pekkala,VAS,1946-03-26,1948-07-29
Pääministeri,K.-A. Fagerholm,SDP,1948-07-29,1950-03-17
Pääministeri,Urho Kekkonen,KESK,1950-03-17,1951-01-17
Pääministeri,Urho Kekkonen,KESK,1951-01-17,1951-09-20
Pääministeri,Urho Kekkonen,KESK,1951-09-20,1953-07-09
Pääministeri,Urho Kekkonen,KESK,1953-07-09,1953-11-17
Pääministeri,Sakari Tuomioja,VL,1953-11-17,1954-05-05
Pääministeri,Ralf Törngren,RKP,1954-05-05,1954-10-20
Pääministeri,Urho Kekkonen,KESK,1954-10-20,1956-03-01
Pääministeri,K.-A. Fagerholm,SDP,1956-03-03,1957-05-27
Pääministeri,V. J. Sukselainen,KESK,1957-05-27,1957-11-29
Pääministeri,Rainer von Fieandt,NA,1957-11-29,1958-04-26
Pääministeri,Reino Kuuskoski,NA,1958-04-26,1958-08-29
Pääministeri,K.-A. Fagerholm,SDP,1958-08-29,1959-01-13
Pääministeri,V. J. Sukselainen,KESK,1959-01-13,1961-07-14
Pääministeri,Martti Miettunen,KESK,1961-07-14,1962-04-13
Pääministeri,Ahti Karjalainen,KESK,1962-04-13,1963-12-18
Pääministeri,Reino R. Lehto,NA,1963-12-18,1964-09-12
Pääministeri,Johannes Virolainen,KESK,1964-09-12,1966-05-27
Pääministeri,Rafael Paasio,SDP,1966-05-27,1968-03-22
Pääministeri,Mauno Koivisto,SDP,1968-03-22,1970-05-14
Pääministeri,Teuvo Aura,NA,1970-05-14,1970-08-15
Pääministeri,Ahti Karjalainen,KESK,1970-08-15,1971-10-29
Pääministeri,Teuvo Aura,NA,1971-10-29,1972-02-23
Pääministeri,Rafael Paasio,SDP,1972-02-23,1972-09-04
Pääministeri,Kalevi Sorsa,SDP,1972-09-04,1975-06-13
Pääministeri,Keijo Liinamaa,NA,1975-07-13,1975-11-30
Pääministeri,Martti Miettunen,KESK,1975-11-30,1976-09-29
Pääministeri,Martti Miettunen,KESK,1976-09-29,1977-05-15
Pääministeri,Kalevi Sorsa,SDP,1977-05-15,1979-05-26
Pääministeri,Mauno Koivisto,SDP,1979-05-26,1982-01-26
Pääministeri,Kalevi Sorsa,SDP,1982-02-19,1983-05-06
